event_id,event_title,event_sub_title,platform
KXUFCMOV-26MAR28BAHMUS,ignacio bahamondes vs tofiq musayev method of victory,ignacio bahamondes vs tofiq musayev mar 28,kalshi
KXUFCMOV-26MAR28ERODOU,julian erosa vs lerryan douglas method of victory,julian erosa vs lerryan douglas mar 28,kalshi
KXMLBHRR-26MAR281610BOSCIN,boston vs cincinnati hits runs rbis,bos vs cin mar 28,kalshi
KXMLBTB-26MAR281610BOSCIN,boston vs cincinnati total bases,bos vs cin mar 28,kalshi
KXMLBHIT-26MAR281610BOSCIN,boston vs cincinnati hits,bos vs cin mar 28,kalshi
KXMLBTB-26MAR281610COLMIA,colorado vs miami total bases,col vs mia mar 28,kalshi
KXMLBHR-26MAR281610BOSCIN,boston vs cincinnati home runs,bos vs cin mar 28,kalshi
KXMLBTB-26MAR281605TEXPHI,texas vs philadelphia total bases,tex vs phi mar 28,kalshi
KXATPSETWINNER-26MAR29KUZTRA-2,dimitar kuzmanov vs stefano travaglia set 2 winner,dimitar kuzmanov vs stefano travaglia set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29KUZTRA-1,dimitar kuzmanov vs stefano travaglia set 1 winner,dimitar kuzmanov vs stefano travaglia set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29HAISCH-2,stefan horia haita vs joel schwaerzler set 2 winner,stefan horia haita vs joel schwaerzler set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29MERPUR-2,daniel merida vs saba purtseladze set 2 winner,daniel merida vs saba purtseladze set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29TSESAK-2,chun hsin tseng vs stefanos sakellaridis set 2 winner,chun hsin tseng vs stefanos sakellaridis set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29HAISCH-1,stefan horia haita vs joel schwaerzler set 1 winner,stefan horia haita vs joel schwaerzler set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29GHECLA-2,gabriel ghetu vs jay clarke set 2 winner,gabriel ghetu vs jay clarke set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29MERPUR-1,daniel merida vs saba purtseladze set 1 winner,daniel merida vs saba purtseladze set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29TSESAK-1,chun hsin tseng vs stefanos sakellaridis set 1 winner,chun hsin tseng vs stefanos sakellaridis set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29HARMOL-2,billy harris vs alex molcan set 2 winner,billy harris vs alex molcan set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29GHECLA-1,gabriel ghetu vs jay clarke set 1 winner,gabriel ghetu vs jay clarke set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29LOFROD-2,george loffhagen vs jurij rodionov set 2 winner,george loffhagen vs jurij rodionov set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29HARMOL-1,billy harris vs alex molcan set 1 winner,billy harris vs alex molcan set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29LOFROD-1,george loffhagen vs jurij rodionov set 1 winner,george loffhagen vs jurij rodionov set 1 mar 29,kalshi
KXCODGAME-26MAR29TEXFAZ,optic texas vs faze vegas,optic texas vs faze vegas mar 29,kalshi
KXMLBHIT-26MAR281605TEXPHI,texas vs philadelphia hits,tex vs phi mar 28,kalshi
KXMLBHIT-26MAR281610COLMIA,colorado vs miami hits,col vs mia mar 28,kalshi
KXMLBHR-26MAR281605TEXPHI,texas vs philadelphia home runs,tex vs phi mar 28,kalshi
KXMLBHR-26MAR281610COLMIA,colorado vs miami home runs,col vs mia mar 28,kalshi
KXATPMATCH-26MAR29KUZTRA,kuzmanov vs travaglia,kuzmanov vs travaglia mar 29,kalshi
KXATPMATCH-26MAR29HARMOL,harris vs molcan,harris vs molcan mar 29,kalshi
KXATPMATCH-26MAR29GHECLA,ghetu vs clarke,ghetu vs clarke mar 29,kalshi
KXATPMATCH-26MAR29HAISCH,haita vs schwaerzler,haita vs schwaerzler mar 29,kalshi
KXATPMATCH-26MAR29LOFROD,loffhagen vs rodionov,loffhagen vs rodionov mar 29,kalshi
KXATPMATCH-26MAR29MERPUR,merida vs purtseladze,merida vs purtseladze mar 29,kalshi
KXATPMATCH-26MAR29TSESAK,tseng vs sakellaridis,tseng vs sakellaridis mar 29,kalshi
KXATPSETWINNER-26MAR29BASMIC-2,nikoloz basilashvili vs daniel michalski set 2 winner,nikoloz basilashvili vs daniel michalski set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29BASMIC-1,nikoloz basilashvili vs daniel michalski set 1 winner,nikoloz basilashvili vs daniel michalski set 1 mar 29,kalshi
KXMLBHRR-26MAR281610PITNYM,pittsburgh vs new york m hits runs rbis,pit vs nym mar 28,kalshi
KXMLBTB-26MAR281610PITNYM,pittsburgh vs new york m total bases,pit vs nym mar 28,kalshi
KXMLBHIT-26MAR281610PITNYM,pittsburgh vs new york m hits,pit vs nym mar 28,kalshi
KXMLBHR-26MAR281610PITNYM,pittsburgh vs new york m home runs,pit vs nym mar 28,kalshi
KXATPMATCH-26MAR29BASMIC,basilashvili vs michalski,basilashvili vs michalski mar 29,kalshi
KXNHLFIRSTGOAL-26MAR28SEABUF,sea kraken at buf sabres first goal,sea vs buf mar 28,kalshi
KXNHLPTS-26MAR28SEABUF,sea kraken at buf sabres points,sea at buf mar 28,kalshi
KXNHLAST-26MAR28SEABUF,sea kraken at buf sabres assists,sea at buf mar 28,kalshi
KXNHLGOAL-26MAR28SEABUF,sea kraken at buf sabres player goals,sea vs buf mar 28,kalshi
KXMLBHRR-26MAR281420WSHCHC,washington vs chicago c hits runs rbis,wsh vs chc mar 28,kalshi
KXMLBHRR-26MAR281507ATHTOR,a s vs toronto hits runs rbis,ath vs tor mar 28,kalshi
KXMLBTB-26MAR281420WSHCHC,washington vs chicago c total bases,wsh vs chc mar 28,kalshi
KXMLBTB-26MAR281507ATHTOR,a s vs toronto total bases,ath vs tor mar 28,kalshi
KXMLBHIT-26MAR281507ATHTOR,a s vs toronto hits,ath vs tor mar 28,kalshi
KXMLBHIT-26MAR281420WSHCHC,washington vs chicago c hits,wsh vs chc mar 28,kalshi
KXMLBHR-26MAR281507ATHTOR,a s vs toronto home runs,ath vs tor mar 28,kalshi
KXMLBHR-26MAR281420WSHCHC,washington vs chicago c home runs,wsh vs chc mar 28,kalshi
KXATPCHALLENGERMATCH-26MAR29BOUISH,boulais vs ishii,boulais vs ishii mar 29,kalshi
KXATPCHALLENGERMATCH-26MAR29ICHIMA,ichikawa vs imamura,ichikawa vs imamura mar 29,kalshi
KXATPCHALLENGERMATCH-26MAR29OVEISO,overbeck vs isomura,overbeck vs isomura mar 29,kalshi
KXATPCHALLENGERMATCH-26MAR29TABSAT,tabata vs sach,tabata vs sach mar 29,kalshi
KXATPSETWINNER-26MAR29MCDBRO-2,mackenzie mcdonald vs jenson brooksby set 2 winner,mackenzie mcdonald vs jenson brooksby set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29MCDBRO-1,mackenzie mcdonald vs jenson brooksby set 1 winner,mackenzie mcdonald vs jenson brooksby set 1 mar 29,kalshi
KXATPSETWINNER-26MAR29BURWAL-2,roman andres burruchaga vs adam walton set 2 winner,roman andres burruchaga vs adam walton set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29KOPMED-2,vit kopriva vs hamad medjedovic set 2 winner,vit kopriva vs hamad medjedovic set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29DEJHAN-2,jesper de jong vs yannick hanfmann set 2 winner,jesper de jong vs yannick hanfmann set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29DAMNAK-2,martin damm jr vs brandon nakashima set 2 winner,martin damm jr vs brandon nakashima set 2 mar 29,kalshi
KXATPSETWINNER-26MAR29BELBEN-2,mattia bellucci vs reda bennani set 2 winner,mattia bellucci vs reda bennani set 2 mar 29,kalshi
